trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9999937500130208}",20,0,-141.74543361086924,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.9999750002083326}",20,6,-115.55351869278562,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 2}",1
3,False,"{'a': 0.9, 'e': 0.9999437510546796}",20,0,-127.48585022136788,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.9999000033332889}",25,0,-133.5687246891929,"{0: 11, 1: 7, 2: 3, 3: 4, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.9998437581378513}",20,0,-106.76739361466636,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.9997750168744938}",20,0,-54.10159107132763,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.9996937812617444}",25,0,-147.70643122890033,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.999600053330489}",20,0,-120.9236887432403,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.9994938354239212}",20,0,-202.08610560341813,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.9, 'e': 0.9993751301974831}",25,0,-75.34229412282522,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9992439406187992}",25,15,-83.80276025202913,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.9, 'e': 0.9991002699676022}",35,10,-131.0467870197858,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",1
13,False,"{'a': 0.9, 'e': 0.9989441218356505}",25,0,-121.39476531561142,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.9987755001266398}",25,0,-76.98366047918628,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.9985944090561037}",20,0,-21.11815018352348,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.9984008531513098}",20,0,-74.43583762341969,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.9981948372511452}",25,0,-90.43325357421924,"{0: 18, 1: 0, 2: 3, 3: 4, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.9979763665059971}",25,0,-154.85386016893142,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.9, 'e': 0.9977454463776226}",25,0,-61.40101954214545,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.9975020826390129}",20,0,-103.59197362851576,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.9972462813742486}",20,3,-153.45516425484044,"{0: 7, 1: 1, 2: 6, 3: 1, 4: 2}",1
22,False,"{'a': 0.9, 'e': 0.9969780489783484}",20,0,-29.35261256028129,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.9966973921571078}",20,0,-120.46882284012929,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.9, 'e': 0.9964043179269331}",20,0,-218.4232538087563,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
25,False,"{'a': 0.9, 'e': 0.9960988336146646}",25,0,-80.81446573353517,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.995780946857394}",20,0,-35.40703728204312,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.9, 'e': 0.9954506656022739}",30,8,-143.6019948876039,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 2}",1
28,False,"{'a': 0.9, 'e': 0.9951079981063186}",30,0,-225.05950765098106,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
29,False,"{'a': 0.9, 'e': 0.9947529529361974}",20,0,-77.94852976085714,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.9943855389680212}",25,0,-69.25686795333145,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.9940057653871199}",30,6,-120.18186733737882,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 2}",1
32,False,"{'a': 0.9, 'e': 0.9936136416878134}",30,10,-67.91753101372113,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
33,False,"{'a': 0.9, 'e': 0.9932091776731738}",30,0,-95.66346942534443,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.9927923834547804}",30,0,-234.49125893420597,"{0: 12, 1: 3, 2: 10, 3: 3, 4: 2}",0
35,False,"{'a': 0.9, 'e': 0.9923632694524667}",30,20,-43.51613086949,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.9, 'e': 0.9919218463940607}",20,0,-137.79640617871848,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.9, 'e': 0.9914681253151157}",20,0,-166.81221084148018,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.9, 'e': 0.9910021175586352}",25,0,-0.4573454501711587,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.9, 'e': 0.9905238347747887}",20,0,-34.85498391389865,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.9900332889206208}",20,0,-73.41154127682404,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.9, 'e': 0.9895304922597525}",20,0,-185.54692092137444,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
42,False,"{'a': 0.9, 'e': 0.9890154573620742}",20,0,-135.34879676406138,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.9, 'e': 0.9884881971034312}",20,0,-94.938040857132,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.9879487246653027}",20,0,-114.94760657778322,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.9873970535344716}",20,0,-103.45541218179517,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.9, 'e': 0.9868331975026874}",20,0,-31.128295954260064,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.9, 'e': 0.9862571706663215}",20,0,-105.15946182977046,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
