trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",25,0,-54.08845336720465,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",35,0,-172.67133638314493,"{0: 17, 1: 4, 2: 12, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",30,0,-168.80555654649476,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",25,9,-42.050331332647325,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",30,3,-184.57254476611277,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 3}",1
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",25,0,-87.66852286974554,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",20,0,-62.089870480156605,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,0,-93.45902139039876,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",25,0,-135.01490233700005,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",25,3,-41.274765964732474,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",25,0,-64.47293839293555,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",20,0,-26.591431001263505,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",25,0,-80.00548476512874,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",25,5,-65.87518445816912,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",1
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",35,16,-80.12874109879687,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",25,12,12.281460333565729,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",20,0,-9.451836245481783,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",20,2,-26.368648298027484,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",25,0,13.169479887620499,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': -3.191891195797325e-16}",20,0,34.47757126436477,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,9,21.028240856040536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,26.564825418070306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,15,-11.6159029106321,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,0,-1.5712936860465099,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-8.605816909573534,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,8,-31.41117585659093,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,21.417650578494587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,6,19.332565452297438,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,3,38.215437410471495,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,23.915293950511135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
