'right', 'green', None, None,0.821673106,0.805951689,1.860657593,-5.077645211
'right', 'red', 'forward', 'forward',-10.76471358,-18.95440102,-11.62153644,0.936059931
'right', 'red', 'forward', 'left',-3.421132885,-3.959419853,1.690169121,0.243212959
'right', 'red', 'forward', 'right',-2.694350715,-2.676150859,1.192383029,0.211040645
'right', 'red', 'forward', None,-11.35371205,-14.16028684,2.16003935,0.751966132
'right', 'red', 'left', 'forward',-10.8009842,-20.82017492,-8.351087018,1.032993183
'right', 'red', 'left', 'left',-9.871453045,-6.924937942,1.633868946,0.415570477
'right', 'red', 'left', 'right',-4.845484245,-4.92778815,0.108093685,0.410679163
'right', 'red', 'left', None,-12.00715605,-13.9431569,2.039954669,0.525977118
'right', 'red', 'right', 'forward',-4.0507229,-13.69723365,-3.830099386,0.285403622
'right', 'red', 'right', 'left',-1.04707262,-10.79177681,1.153432606,-0.055163233
'right', 'red', 'right', 'right',-1.789891207,-7.64762136,0.178948177,0.405249259
'right', 'red', 'right', None,-5.23630435,-28.81264555,1.747213683,0.677791485
'right', 'red', None, 'forward',-36.78761269,-35.04401037,-17.73204887,0.895421372
'right', 'red', None, 'left',-16.15345936,-9.545092564,1.864039388,0.579420191
'right', 'red', None, 'right',-3.921441874,-5.59736822,1.582660063,0.293594574
'right', 'red', None, None,-11.96371988,-21.32547588,2.005327755,0.844550001
