trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.1, 'e': 0.8447492164758735}",20,0,-132.89881958950807,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
163,False,"{'a': 0.1, 'e': 0.8429341967283687}",20,11,-36.467320420402736,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.1, 'e': 0.8411106036438067}",20,3,-44.482593979139565,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.83927848281192}",20,0,-103.47201130821102,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
166,False,"{'a': 0.1, 'e': 0.8374378800356336}",25,6,-135.62917226153485,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 2}",1
167,False,"{'a': 0.1, 'e': 0.8355888413299212}",25,0,-81.94316903852823,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
168,False,"{'a': 0.1, 'e': 0.8337314129206541}",20,0,-113.1836827485886,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
169,False,"{'a': 0.1, 'e': 0.8318656412434458}",20,0,-84.44549299964825,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
170,False,"{'a': 0.1, 'e': 0.8299915729424912}",20,0,-28.3706001738897,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.1, 'e': 0.8281092548693999}",20,0,5.072072366587076,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.1, 'e': 0.826218734082026}",20,13,-30.1285556151565,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.1, 'e': 0.8243200578432905}",25,0,-175.61904751195374,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
174,False,"{'a': 0.1, 'e': 0.8224132736200006}",25,0,-132.15690739579543,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
175,False,"{'a': 0.1, 'e': 0.8204984290816626}",30,0,-74.34355489087969,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
176,False,"{'a': 0.1, 'e': 0.8185755720992901}",30,6,-89.01280264809188,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 1}",1
177,False,"{'a': 0.1, 'e': 0.8166447507442076}",20,0,-124.77113030026524,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
178,False,"{'a': 0.1, 'e': 0.8147060132868484}",30,0,-81.151371924986,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
179,False,"{'a': 0.1, 'e': 0.812759408195548}",25,0,-59.54927337465689,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
180,False,"{'a': 0.1, 'e': 0.8108049841353322}",30,0,-125.70683609915325,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
181,False,"{'a': 0.1, 'e': 0.8088427899667008}",25,0,-90.35735382107943,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
182,False,"{'a': 0.1, 'e': 0.8068728747444058}",20,12,-42.655748433695635,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
183,False,"{'a': 0.1, 'e': 0.8048952877162251}",20,0,-128.3884841864864,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
184,False,"{'a': 0.1, 'e': 0.8029100783217314}",20,9,-23.833609202472925,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
185,False,"{'a': 0.1, 'e': 0.8009172961910562}",25,0,-159.61699622033967,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
186,False,"{'a': 0.1, 'e': 0.7989169911436491}",30,1,-43.03483440410668,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 0}",1
187,False,"{'a': 0.1, 'e': 0.7969092131870319}",25,16,-51.48095608727242,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
188,False,"{'a': 0.1, 'e': 0.7948940125155491}",20,0,-6.77654271025918,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
189,False,"{'a': 0.1, 'e': 0.7928714395091124}",20,3,-134.73696640238967,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 2}",1
190,False,"{'a': 0.1, 'e': 0.7908415447319417}",25,9,-57.65985449646841,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
191,False,"{'a': 0.1, 'e': 0.7888043789313007}",25,13,-34.3877577978431,"{0: 6, 1: 5, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.1, 'e': 0.7867599930362283}",25,0,-78.23979904114488,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
193,False,"{'a': 0.1, 'e': 0.7847084381562655}",25,0,-47.35570555138023,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
194,False,"{'a': 0.1, 'e': 0.7826497655801772}",20,0,-23.052160642931504,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
195,False,"{'a': 0.1, 'e': 0.7805840267746708}",20,2,-57.419612705532806,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
196,False,"{'a': 0.1, 'e': 0.7785112733831087}",20,14,-33.074982978098035,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 0}",1
197,False,"{'a': 0.1, 'e': 0.7764315572242177}",20,10,-32.558610242605106,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
